"注释:
表格生成前请去除空行操作步骤为:开始->查找->定位->选择空值->确定",,,,,技能类型:0:物理技能1:魔法技能,,,,
生成的类名和文件名:,Skills,,,,,,,,
序号,名称,攻击描述,伤害,法力值消耗,技能类型,,,,
int,string,string,float,float,int,,,,
ID,AttackName,AttackDescription,AttackDamage,AttackCost,SkillType,,,,
1,物理攻击1,攻击描述-物理攻击1,5,0,0,,,,
2,物理攻击2,攻击描述-物理攻击2,6,0,0,,,,
3,物理攻击3,攻击描述-物理攻击3,7,0,0,,,,
4,物理攻击4,攻击描述-物理攻击4,8,0,0,,,,
5,物理攻击5,攻击描述-物理攻击5,9,0,0,,,,
6,物理攻击6,攻击描述-物理攻击6,10,0,0,,,,
7,物理攻击7,攻击描述-物理攻击7,11,0,0,,,,
8,物理攻击8,攻击描述-物理攻击8,12,0,0,,,,
9,魔法攻击1,攻击描述-魔法攻击1,5,2,1,,,,
10,魔法攻击2,攻击描述-魔法攻击2,6,2,1,,,,
11,魔法攻击3,攻击描述-魔法攻击3,7,2,1,,,,
12,魔法攻击4,攻击描述-魔法攻击4,8,2,1,,,,
13,魔法攻击5,攻击描述-魔法攻击5,9,2,1,,,,
14,魔法攻击6,攻击描述-魔法攻击6,10,2,1,,,,
15,魔法攻击7,攻击描述-魔法攻击7,11,2,1,,,,
16,魔法攻击8,攻击描述-魔法攻击8,12,2,1,,,,
